,LDPC_code,Prob_block_error,SNRbDB,SNRcDB,average_probaility_error,count_time,message_sending_time,noise_set,scaling_factor,xlen,ylen
0,third_LDPC_code(112_56),0.01972,0.9151,3.9254,0.0004,699.61,100000.0,0.45,1.0,112,56
0,third_LDPC_code(112_56),0.01743,1.1103,4.1206,0.00035,681.99,100000.0,0.44,1.0,112,56
0,third_LDPC_code(112_56),0.01591,1.31,4.3203,0.00032,681.95,100000.0,0.43,1.0,112,56
0,third_LDPC_code(112_56),0.01394,1.5144,4.5247,0.00028,687.79,100000.0,0.42,1.0,112,56
0,third_LDPC_code(112_56),0.01301,1.7237,4.734,0.00026,685.66,100000.0,0.41,1.0,112,56
0,third_LDPC_code(112_56),0.01095,1.9382,4.9485,0.00022,685.48,100000.0,0.4,1.0,112,56
0,third_LDPC_code(112_56),0.0101,2.1581,5.1684,0.0002,690.29,100000.0,0.39,1.0,112,56
0,third_LDPC_code(112_56),0.008359,2.3837,5.394,0.00017,673.42,100000.0,0.38,1.0,112,56
0,third_LDPC_code(112_56),0.00872,2.3837,5.394,0.00017,683.62,100000.0,0.38,1.0,112,56
0,third_LDPC_code(112_56),0.00687,2.6154,5.6257,0.00014,675.04,100000.0,0.37,1.0,112,   
0,third_LDPC_code(112_56),0.00585,2.8534,5.8637,0.00012,668.24,100000.0,0.36,1.0,112,56
0,third_LDPC_code(112_56),0.004984,3.098,6.1083,9.8946e-05,6135.22,1000000.0,0.35,1.0,112,56
0,third_LDPC_code(112_56),0.00403,3.3498,6.3601,8.1036e-05,6445.71,1000000.0,0.34,1.0,112,56
0,third_LDPC_code(112_56),0.0032,3.6091,6.6194,6.419642e-05,6359.01,1000000.0,0.33,1.0,112,56
0,third_LDPC_code(112_56),0.0013,3.8764,6.8867,2.62857e-05,679.95,1000000.0,0.32,1.0,112,56
0,third_LDPC_code(112_56),0.00098,4.1522,7.1625,2.0125e-05,503.39,1000000.0,0.31,1.0,112,56
0,third_LDPC_code(112_56),0.000828,4.2934,7.3037,1.672857e-05,4382.02,10000000.0,0.305,1.0,112,56
0,third_LDPC_code(112_56),0.000652,4.437,7.4473,1.3517e-05,383.16,1000000.0,0.3,1.0,112,56
0,third_LDPC_code(112_56),0.00059,4.583,7.5933,1.194107e-05,3189.74,10000000.0,0.295,1.0,112,56
0,third_LDPC_code(112_56),0.0004914,4.7314,7.7417,9.9357e-06,2778.98,10000000.0,0.29,1.0,112,56
0,third_LDPC_code(112_56),0.0004083,4.8825,7.8928,8.3017857e-06,2806.08,10000000.0,0.285,1.0,112,56
0,third_LDPC_code(112_56),0.0003276,5.0362,8.0465,6.717857e-06,2036.33,10000000.0,0.28,1.0,112,56
0,third_LDPC_code(112_56),0.0002094,5.3521,8.3624,4.325e-06,1534.03,10000000.0,0.27,1.0,112,56
0,third_LDPC_code(112_56),0.0001591,5.5145,8.5248,3.31428e-06,1331.28,10000000.0,0.265,1.0,112,56
0,third_LDPC_code(112_56),0.0001202,5.6799,8.6902,2.49464e-06,1176.41,10000000.0,0.26,1.0,112,56
0.0,MacKeyCode_96.33.963_clip0.1,1.0,0.0,-3.0103,0.15942,19.61,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip0.1,0.998,1.9382,-1.0721,0.1046875,18.63,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip0.1,0.663,6.0206,3.0103,0.02271,16.16,1000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip5,0.902,0.0,-3.0103,0.1245,17.33,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip5,0.289,1.9382,-1.0721,0.02796,10.77,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip5,0.00422,4.437,1.4267,0.0003108,307.23,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip5,9.3e-05,6.0206,3.0103,7.8958e-06,1978.39,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip10,0.905,0.0,-3.0103,0.1278125,16.98,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip10,0.275,1.9382,-1.0721,0.0290625,10.39,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip10,0.003,4.437,1.4267,0.0003125,3.59,1000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip10,4e-05,6.0206,3.0103,9.875e-06,1953.81,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip50,0.916,0.0,-3.0103,0.1299,17.34,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip50,0.2909,1.9382,-1.0721,0.02952,102.65,10000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip50,0.002670,4.437,1.4267,0.0002314,305.52,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip50,4e-05,6.0206,3.0103,1.2833e-05,1936.31,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip25,0.899,0.0,-3.0103,0.13023,16.93,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip25,0.2905,1.9382,-1.0721,0.02964,101.95,10000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip25,0.00294,4.437,1.4267,0.0002498,298.29,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip25,0.00037,5.1927,2.1824,5.2042e-05,2316.8,1000000.0,0.55,204,408
0.0,MacKeyCode_96.33.963_clip25,3.2e-05,6.0206,3.0103,9e-06,1935.75,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip25,1.5e-05,6.3752,3.3649,6.5833e-06,1861.03,1000000.0,0.48,204,408
0.0,MacKeyCode_96.33.963_clip25,5e-06,6.9357,3.9254,2.375e-06,1798.38,1000000.0,0.45,204,408
0.0,MacKeyCode_96.33.963_clip25,1.999999999946489e-06,7.1309,4.1206,1e-06,1768.3,1000000.0,0.44,204,408
0.0,MacKeyCode_96.33.963_clip25,2e-06,7.3306,4.3203,1e-06,1766.37,1000000.0,0.43,204,408








0.0,MacKeyCode_96.33.963_clip0.01,1.0,0.0,-3.0103,0.1576875,17.66,1000.0,1.0,204,408
